X,Y,OBJECTID,ID,OBJEKTSCHLUESSEL,BAUMNUMMER,BAUMART,PFLANZDATUM
12.9043550705021,50.79149073741,1,11048,0674//, 11,"Catalpa bignonioides, Gewöhnlicher Trompetenbaum",2009
12.8912914056715,50.7930321825166,2,37354,7335//, 100,"Acer pseudoplatanus, Berg-Ahorn",2008
12.9249295660253,50.8223955352043,3,28766,7389//, 602,"Tilia tomentosa ""Brabant"", Sorte der Silberlinde",2008
12.9248083261412,50.8222757065374,4,28768,7389//, 603,"Tilia tomentosa ""Brabant"", Sorte der Silberlinde",2008
12.9055257722334,50.8468505768958,5,22879,7305//, 1202,"Tilia vulgaris 'Pallida', Kaiserlinde",2000
12.9240874391039,50.8214247081698,6,28786,7389//, 1200,"Tilia tomentosa ""Brabant"", Sorte der Silberlinde",2007
12.9238588213534,50.8209859416895,7,28792,7389//, 1600,"Tilia tomentosa ""Brabant"", Sorte der Silberlinde",2011
12.9238162041265,50.8209161804728,8,28798,7389//, 1800,"Tilia tomentosa ""Brabant"", Sorte der Silberlinde",2007
12.9231742349979,50.8192168793773,9,28814,7389//, 2202,"Aesculus hippocastanum 'Baumannii', Nichtfruchtende Roßkastanie",2008
12.916804265065,50.8168181847019,10,28852,7390//, 4001,"Aesculus hippocastanum 'Baumannii', Nichtfruchtende Roßkastanie",2009
