X,Y,OBJECTID,ID,OBJEKTSCHLUESSEL,BAUMNUMMER,BAUMART,PFLANZDATUM
12.9043550705021,50.79149073741,1,11048,0674//, 11,"Catalpa bignonioides, Gewöhnlicher Trompetenbaum",2009
12.8912914056715,50.7930321825166,2,37354,7335//, 100,"Acer pseudoplatanus, Berg-Ahorn",2008
12.9249295660253,50.8223955352043,3,28766,7389//, 602,"Tilia tomentosa ""Brabant"", Sorte der Silberlinde",2008
12.9248083261412,50.8222757065374,4,28768,7389//, 603,"Tilia tomentosa ""Brabant"", Sorte der Silberlinde",2008
12.9055257722334,50.8468505768958,5,22879,7305//, 1202,"Tilia vulgaris 'Pallida', Kaiserlinde",2000
12.9240874391039,50.8214247081698,6,28786,7389//, 1200,"Tilia tomentosa ""Brabant"", Sorte der Silberlinde",2007
12.9238588213534,50.8209859416895,7,28792,7389//, 1600,"Tilia tomentosa ""Brabant"", Sorte der Silberlinde",2011
12.9238162041265,50.8209161804728,8,28798,7389//, 1800,"Tilia tomentosa ""Brabant"", Sorte der Silberlinde",2007
12.9231742349979,50.8192168793773,9,28814,7389//, 2202,"Aesculus hippocastanum 'Baumannii', Nichtfruchtende Roßkastanie",2008
12.916804265065,50.8168181847019,10,28852,7390//, 4001,"Aesculus hippocastanum 'Baumannii', Nichtfruchtende Roßkastanie",2009
12.9170376512061,50.8474248578291,11,983,0041//, 518,"Acer platanoides, Spitz-Ahorn",1976
12.9190548859436,50.8175594350587,12,28871,7390//, 4800,"Aesculus hippocastanum 'Baumannii', Nichtfruchtende Roßkastanie",2009
12.9059923512276,50.846796908384,13,22881,7305//, 1400,"Tilia x vulgaris, Holländische Linde",1915
12.9195414525266,50.8177167238176,14,28877,7390//, 5000,"Aesculus hippocastanum 'Baumannii', Nichtfruchtende Roßkastanie",2008
12.9241194593025,50.8211404446326,15,28930,7390//, 6700,"Tilia tomentosa ""Brabant"", Sorte der Silberlinde",2007
12.9084039806443,50.8196560701391,16,57850,7619//, 101,"Quercus robur, Stiel-Eiche",2013
12.9170574029592,50.8474111367952,17,984,0041//, 519,"Acer platanoides, Spitz-Ahorn",1990
12.9170768586165,50.8474003946594,18,985,0041//, 520,"Acer platanoides, Spitz-Ahorn",1979
12.9171085890197,50.8473849259213,19,988,0041//, 523,"Acer pseudoplatanus, Berg-Ahorn",1976
12.9170998746723,50.8473779115495,20,989,0041//, 524,"Acer pseudoplatanus, Berg-Ahorn",1986
12.9171184906212,50.8473728475759,21,990,0041//, 525,"Betula  species, Birke",1979
12.9180297578362,50.8470179951686,22,1007,0041//, 542,"Acer platanoides, Spitz-Ahorn",1948
12.9178519943304,50.8475599952965,23,966,0041//, 502,"Acer platanoides, Spitz-Ahorn",1958
12.9180149675616,50.8469741268,24,1010,0041//, 545,"Acer platanoides, Spitz-Ahorn",1948
12.8773096096864,50.8396532283228,25,8032,0213/01/, 112,"Tilia  species, Linde",1995
12.858502698645,50.8078408671999,26,40713,7685//, 13100,"Fraxinus excelsior 'Westhof's Glorie', Sorte der Esche",2001
12.8359359157493,50.8564563353685,27,24809,7874//, 2100,"Quercus robur, Stiel-Eiche",1960
12.8771916398733,50.8396528038507,28,8030,0213/01/, 110,"Acer campestre, Feld-Ahorn",1989
12.8583514116788,50.8079363337875,29,40639,7685//, 13000,"Fraxinus excelsior 'Westhof's Glorie', Sorte der Esche",2001
12.8771408501403,50.8396486012285,30,8029,0213/01/, 109,"Acer campestre, Feld-Ahorn",1992
12.8770775623537,50.8395291775149,31,8028,0213/01/, 108,"Acer campestre, Feld-Ahorn",1994
12.8770917311923,50.8395670689503,32,8027,0213/01/, 107,"Carpinus  species, Hainbuche",1995
12.8770855346947,50.8396234699392,33,8026,0213/01/, 106,"Tilia  species, Linde",1994
12.8770668827432,50.8396773300886,34,8025,0213/01/, 105,"Acer campestre, Feld-Ahorn",1995
12.8770835180261,50.83973617475,35,8024,0213/01/, 104,"Alnus  species, Erle",1981
